   1.0000000e+00   1.2000000e+00   5.5942000e+01
   2.0000000e+00   1.8000000e+00   6.1802000e+01
   3.0000000e+00   6.1000000e+00   7.0616000e+01
   4.0000000e+00   1.1100000e+01   7.4088000e+01
   5.0000000e+00   1.6000000e+01   7.4980000e+01
   6.0000000e+00   2.0400000e+01   7.5131000e+01
   7.0000000e+00   2.2900000e+01   7.6229000e+01
   8.0000000e+00   2.2200000e+01   7.7396000e+01
   9.0000000e+00   1.8400000e+01   6.9286000e+01
   1.0000000e+01   1.2600000e+01   5.9559000e+01
   1.1000000e+01   6.3000000e+00   5.2314000e+01
   1.2000000e+01   1.4000000e+00   5.0894000e+01
